name,all,cpu
V,1794.162,1793.094
V,1798.141,1796.328
V,1836.079,1834.891
V,1788.586,1787.078
V,1794.717,1793.594
V,1795.568,1793.906
V,1798.408,1797.406
V,1825.945,1824.109
V,1799.355,1798.1879999999999
V,1823.475,1822.406
V,1792.682,1791.266
V,1830.983,1829.828
V,1799.759,1798.922
V,1802.8670000000002,1801.25
V,1818.1970000000001,1817.0629999999999
W,1909.7089999999998,1908.016
W,1800.3210000000001,1798.922
W,1801.6229999999998,1800.391
W,1793.454,1791.6879999999999
W,1899.431,1897.797
W,1848.3370000000002,1846.5
W,1820.374,1818.594
W,1799.418,1798.297
W,1847.0410000000002,1845.6879999999999
W,1792.691,1791.484
W,1895.211,1893.484
W,1795.2220000000002,1793.797
W,1798.233,1796.406
W,1822.5520000000001,1820.922
W,1804.4589999999998,1803.141
X,1803.9489999999998,1801.859
X,1801.035,1798.672
X,1812.435,1809.531
X,1791.648,1790.219
X,1806.695,1804.594
X,1799.385,1797.375
X,1805.9189999999999,1803.922
X,1802.9160000000002,1800.484
X,1797.513,1795.672
X,1800.1370000000002,1798.141
X,1801.119,1799.125
X,1797.243,1794.844
X,1796.076,1794.4379999999999
X,1796.3429999999998,1794.1879999999999
X,1804.882,1802.8129999999999
Y,1814.4620000000002,1812.656
Y,1814.796,1813.516
Y,1811.86,1810.453
Y,1800.45,1797.25
Y,1814.1429999999998,1812.344
Y,1820.7879999999998,1818.906
Y,1799.46,1797.719
Y,1793.761,1791.766
Y,1815.6770000000001,1813.781
Y,1797.318,1795.453
Y,1823.9189999999999,1822.281
Y,1795.358,1793.391
Y,1795.185,1793.25
Y,1803.348,1801.219
Y,1811.922,1810.203
Z,1817.819,1815.625
Z,1812.759,1811.25
Z,1796.674,1794.953
Z,1803.7379999999998,1801.266
Z,1816.026,1814.625
Z,1806.654,1804.922
Z,1828.625,1826.859
Z,1817.171,1815.5629999999999
Z,1802.037,1800.25
Z,1805.04,1803.391
Z,1823.8229999999999,1822.219
Z,1809.204,1807.703
Z,1802.84,1801.172
Z,1801.741,1800.719
Z,1815.684,1813.391
