name,cpu
V,1793.094
V,1793.594
V,1793.906
V,1796.328
V,1797.406
V,1798.1879999999999
V,1798.922
V,1801.25
V,1817.0629999999999
V,1822.406
V,1824.109
W,1793.797
W,1796.406
W,1798.297
W,1798.922
W,1800.391
W,1803.141
W,1818.594
W,1820.922
W,1845.6879999999999
W,1846.5
W,1893.484
X,1794.4379999999999
X,1794.844
X,1795.672
X,1797.375
X,1798.141
X,1798.672
X,1799.125
X,1800.484
X,1801.859
X,1802.8129999999999
X,1803.922
Y,1793.391
Y,1795.453
Y,1797.25
Y,1797.719
Y,1801.219
Y,1810.203
Y,1810.453
Y,1812.344
Y,1812.656
Y,1813.516
Y,1813.781
Z,1800.719
Z,1801.172
Z,1801.266
Z,1803.391
Z,1804.922
Z,1807.703
Z,1811.25
Z,1813.391
Z,1814.625
Z,1815.5629999999999
Z,1815.625
