2014-11-14 11:25:23,809 INFO  [] [com.clarabridge.elasticsearch.ingex.migrate.IndexMigrator] hit type: sentence, id: 31
2014-11-14 11:25:23,809 INFO  [] [com.clarabridge.elasticsearch.ingex.migrate.IndexMigrator] hit parent: 2
2014-11-14 11:25:23,809 INFO  [] [com.clarabridge.elasticsearch.ingex.migrate.IndexMigrator] hit type: sentence, id: 32
2014-11-14 11:25:23,809 INFO  [] [com.clarabridge.elasticsearch.ingex.migrate.IndexMigrator] hit parent: 2
2014-11-14 11:25:23,809 INFO  [] [com.clarabridge.elasticsearch.ingex.migrate.IndexMigrator] hit type: sentence, id: 46
2014-11-14 11:25:23,809 INFO  [] [com.clarabridge.elasticsearch.ingex.migrate.IndexMigrator] hit parent: 2
2014-11-14 11:25:23,810 INFO  [] [com.clarabridge.elasticsearch.ingex.migrate.IndexMigrator] hit type: sentence, id: 55
2014-11-14 11:25:23,810 INFO  [] [com.clarabridge.elasticsearch.ingex.migrate.IndexMigrator] hit parent: 2
2014-11-14 11:25:23,810 INFO  [] [com.clarabridge.elasticsearch.ingex.migrate.IndexMigrator] hit type: sentence, id: 58
2014-11-14 11:25:23,810 INFO  [] [com.clarabridge.elasticsearch.ingex.migrate.IndexMigrator] hit parent: 2
2014-11-14 11:25:23,810 INFO  [] [com.clarabridge.elasticsearch.ingex.migrate.IndexMigrator] hit type: sentence, id: 59
2014-11-14 11:25:23,810 INFO  [] [com.clarabridge.elasticsearch.ingex.migrate.IndexMigrator] hit parent: 2
2014-11-14 11:25:23,810 INFO  [] [com.clarabridge.elasticsearch.ingex.migrate.IndexMigrator] hit type: sentence, id: 61
2014-11-14 11:25:23,810 INFO  [] [com.clarabridge.elasticsearch.ingex.migrate.IndexMigrator] hit parent: 2
2014-11-14 11:25:23,810 INFO  [] [com.clarabridge.elasticsearch.ingex.migrate.IndexMigrator] hit type: sentence, id: 62
2014-11-14 11:25:23,810 INFO  [] [com.clarabridge.elasticsearch.ingex.migrate.IndexMigrator] hit parent: 2
2014-11-14 11:25:23,810 INFO  [] [com.clarabridge.elasticsearch.ingex.migrate.IndexMigrator] hit type: sentence, id: 63
2014-11-14 11:25:23,810 INFO  [] [com.clarabridge.elasticsearch.ingex.migrate.IndexMigrator] hit parent: 2


2014-11-14 11:25:23,811 INFO  [] [com.clarabridge.elasticsearch.ingex.migrate.IndexMigrator] hit type: document, id: 9


2014-11-14 11:25:23,811 INFO  [] [com.clarabridge.elasticsearch.ingex.migrate.IndexMigrator] hit type: verbatim, id: 17
2014-11-14 11:25:23,811 INFO  [] [com.clarabridge.elasticsearch.ingex.migrate.IndexMigrator] hit parent: 17

2014-11-14 11:25:23,811 INFO  [] [com.clarabridge.elasticsearch.ingex.migrate.IndexMigrator] hit type: sentence, id: 157
2014-11-14 11:25:23,811 INFO  [] [com.clarabridge.elasticsearch.ingex.migrate.IndexMigrator] hit parent: 17
2014-11-14 11:25:23,811 INFO  [] [com.clarabridge.elasticsearch.ingex.migrate.IndexMigrator] hit type: verbatim, id: 18
2014-11-14 11:25:23,811 INFO  [] [com.clarabridge.elasticsearch.ingex.migrate.IndexMigrator] hit parent: 18
2014-11-14 11:25:23,811 INFO  [] [com.clarabridge.elasticsearch.ingex.migrate.IndexMigrator] hit type: sentence, id: 158
2014-11-14 11:25:23,811 INFO  [] [com.clarabridge.elasticsearch.ingex.migrate.IndexMigrator] hit parent: 18
2014-11-14 11:25:23,811 INFO  [] [com.clarabridge.elasticsearch.ingex.migrate.IndexMigrator] hit type: sentence, id: 159
2014-11-14 11:25:23,811 INFO  [] [com.clarabridge.elasticsearch.ingex.migrate.IndexMigrator] hit parent: 18
2014-11-14 11:25:23,811 INFO  [] [com.clarabridge.elasticsearch.ingex.migrate.IndexMigrator] hit type: sentence, id: 160
2014-11-14 11:25:23,812 INFO  [] [com.clarabridge.elasticsearch.ingex.migrate.IndexMigrator] hit parent: 18
2014-11-14 11:25:23,812 INFO  [] [com.clarabridge.elasticsearch.ingex.migrate.IndexMigrator] hit type: sentence, id: 161
2014-11-14 11:25:23,812 INFO  [] [com.clarabridge.elasticsearch.ingex.migrate.IndexMigrator] hit parent: 18
2014-11-14 11:25:23,812 INFO  [] [com.clarabridge.elasticsearch.ingex.migrate.IndexMigrator] hit type: sentence, id: 162
2014-11-14 11:25:23,812 INFO  [] [com.clarabridge.elasticsearch.ingex.migrate.IndexMigrator] hit parent: 18
2014-11-14 11:25:23,812 INFO  [] [com.clarabridge.elasticsearch.ingex.migrate.IndexMigrator] hit type: document, id: 14
2014-11-14 11:25:23,812 INFO  [] [com.clarabridge.elasticsearch.ingex.migrate.IndexMigrator] hit type: verbatim, id: 27
2014-11-14 11:25:23,812 INFO  [] [com.clarabridge.elasticsearch.ingex.migrate.IndexMigrator] hit parent: 14
2014-11-14 11:25:23,812 INFO  [] [com.clarabridge.elasticsearch.ingex.migrate.IndexMigrator] hit type: sentence, id: 194
2014-11-14 11:25:23,812 INFO  [] [com.clarabridge.elasticsearch.ingex.migrate.IndexMigrator] hit parent: 27
2014-11-14 11:25:23,812 INFO  [] [com.clarabridge.elasticsearch.ingex.migrate.IndexMigrator] hit type: verbatim, id: 28
2014-11-14 11:25:23,812 INFO  [] [com.clarabridge.elasticsearch.ingex.migrate.IndexMigrator] hit parent: 14
2014-11-14 11:25:23,812 INFO  [] [com.clarabridge.elasticsearch.ingex.migrate.IndexMigrator] hit type: sentence, id: 196
