libtasn1 3.4-1
libthai 0.1.19-1
libtiff 4.0.3-4
libtimezonemap 0.4.0-1
libtirpc 0.2.3-2
libunique 1.1.6-5
libunistring 0.9.3-6
libusb 1.0.18-1
libutempter 1.1.6-2
libvdpau 0.7-1
libvorbis 1.3.4-1
libwbclient 4.1.4-1
libwebp 0.4.0-1
libx11 1.6.2-1
libx86emu 1.1-30
libxau 1.0.8-2
libxaw 1.0.12-1
libxcb 1.10-1
libxcomposite 0.4.4-1
libxcursor 1.1.14-1
libxdamage 1.1.4-1
libxdmcp 1.1.1-1
libxext 1.3.2-1
libxfce4ui 4.11.0-4
libxfce4util 4.10.1-2
libxfixes 5.0.1-1
libxfont 1.4.7-1
libxft 2.3.1-2
libxi 1.7.2-1
libxinerama 1.1.3-2
libxkbcommon 0.4.0-1
libxkbfile 1.0.8-1
libxml2 2.9.1-5
libxmu 1.1.2-1
libxp 1.0.2-1
libxpm 3.5.11-1
libxrandr 1.4.2-2
libxrender 0.9.8-1
libxslt 1.1.28-3
libxss 1.2.2-2
libxt 1.1.4-1
libxtst 1.2.2-1
libxv 1.0.10-1
libxxf86dga 1.1.4-1
libxxf86vm 1.1.3-1
libzeitgeist 0.3.18-4
licenses 20130203-1
linux-api-headers 3.13.2-1
linux-firmware 20140123.418320b-1
linux310 3.10.30-1
linux310-ndiswrapper 1.59-5
llvm-libs 3.4-1
locale-info 2.19-1
logrotate 3.8.7-1
lsb-release 1.4-12
lsof 4.87-2
lua 5.2.3-1
lvm2 2.02.105-1
lxappearance 0.5.5-1
lxappearance-obconf 0.2.1-1
lxinput 0.3.2-2
lxpolkit 0.1.0-3
lxrandr 0.1.2-3
lxterminal 0.1.11-2
lzo2 2.06-3
lzop 1.03-2
man-db 2.6.6-1
man-pages 3.59-1
manjaro-alsa 2012.11-1
manjaro-firmware 0.3-1
manjaro-hotfixes 2013.03-1
manjaro-keyring 20140209-1
manjaro-release 0.8.9-1
manjaro-system 20140221-1
manjaro-welcome 0.8.9-1
manjarobox-evolution-themes 1.0-1
mcpp 2.7.2-4
mdadm 3.3-2
memtest86+ 5.01-1
mesa 10.0.3-1
mesa-demos 8.1.0-1
mesa-libgl 10.0.3-1
mhwd 0.3.3-1
mhwd-catalyst 13.12-4
mhwd-db 0.3.3-1
mhwd-nvidia 331.49-1
mhwd-nvidia-legacy 304.119-1
midori 0.5.7-1
mkinitcpio 16-2
mkinitcpio-busybox 1.21.1-2
