xorg-font-util 1.3.0-1
xorg-font-utils 7.6-3
xorg-fonts-alias 1.0.3-1
xorg-fonts-encodings 1.0.4-3
xorg-mkfontdir 1.0.7-1
xorg-mkfontscale 1.1.1-1
xorg-xset 1.2.3-1
xproto 7.0.25-1
xz 5.0.5-2
zd1211-firmware 1.4-6
zip 3.0-3
zlib 1.2.8-3
