year,obl,rb
1994,3.95,2.2
1995,6.1,2.9
1996,4.5,2.21
1997,7.06,3.06
1998,3.5,2.2
1999,6.6,3.4
2000,3.2,4.1
2001,6.9,4.0
2002,7.3,4.47
2003,9.7,5.7
2004,13.05,
2005,13.6,
2006,12.4,
2007,21.0,9.9
2008,25.8,21.4
2009,19.3,19.3
2010,24.7,20.4
2011,23.1,21.7
2012,26.9,20.0
2013,31.8,25.16
2014,31.7,22.23
2015,40.9,34.69
2016,52.0,36.75
2017,72.5,49.24
2018,82.0,62.37
