year,obl,rb
1985,,
1986,,
1987,,
1988,1.3,
1989,4.9,
1990,32.6,
1991,29.5,
1992,54.3,
1993,62.9,
1994,60.7,29.06
1995,44.8,25.5
1996,59.1,32.6
1997,62.2,34.7
1998,64.3,40.1
1999,73.1,43.2
2000,63.3,42.1
2001,65.6,47.17
2002,58.1,48.27
2003,57.8,52.1
2004,57.6,
2005,52.9,
2006,86.2,
2007,72.2,54.4
2008,73.7,49.6
2009,58.5,46.4
2010,74.5,53.1
2011,76.2,54.8
2012,83.3,51.8
2013,64.4,56.83
2014,54.3,55.0
2015,39.8,58.2
2016,43.0,62.79
2017,38.2,60.9
2018,30.4,57.4
