year,obl,rb
1985,,
1986,,
1987,,
1988,0.7,
1989,7.0,
1990,21.5,6.8
1991,34.3,8.1
1992,45.7,19.3
1993,38.9,24.2
1994,42.9,17.1
1995,39.7,19.67
1996,43.0,19.0
1997,29.1,16.71
1998,42.9,21.8
1999,59.2,29.2
2000,41.0,25.82
2001,39.3,25.13
2002,35.4,23.26
2003,37.4,30.6
2004,45.5,
2005,30.9,
2006,49.9,
2007,60.8,36.8
2008,49.9,40.5
2009,33.7,37.2
2010,65.2,42.7
2011,52.9,40.5
2012,57.4,38.0
2013,40.6,29.7
2014,29.2,28.4
2015,42.32,47.59
2016,48.1,43.5
2017,39.04,47.72
2018,11.0,49.0
