year,obl,rb
1985,1.84,
1986,1.76,
1987,5.5,
1988,3.2,
1989,0.32,
1990,3.7,
1991,5.2,
1992,7.1,
1993,12.6,
1994,11.5,
1995,26.8,15.2,
1996,36.9,16.7
1997,57.7,21.6
1998,65.7,27.2
1999,64.0,24.0
2000,42.3,24.2
2001,36.5,23.59
2002,32.8,17.76
2003,34.0,20.8
2004,49.45,
2005,79.7,
2006,51.6,
2007,53.8,19.3
2008,64.6,22.6
2009,62.4,23.2
2010,75.5,23.1
2011,63.8,22.1
2012,70.5,24.5
2013,65.3,21.72
2014,45.4,16.6
2015,52.81,31.01
2016,67.0,37.36
2017,63.0,44.0
2018,63.3,40.3
