TEXT
Microsoft dispose de moins d'ancienneté sur le marché UC/ToIP
Politique commerciale & respect des partenaires
Continue being mre agressive
Vous devenez pénible avec ces questions indiscrétes
Tout OK
D'etre plus souple et plus ouvert
Problème au niveau de la formation
weiterso
Qualité du matériel
IBM partenaire Historique
"Efficace, et une souplesse d'intégration"
Je travaille dans la partie Technique après vente mais j'aimerais avoir un contact sur la partie sécurité.    Nos client ont des besoins spécifiques et nos avent ventes ne sont pas toujours au fait des ces spécificités.    Avoir un contact direct nous permettrait d'avoir des réponses rapides sur des sujets souvent très spécifiques.    Merci.
Plus dynamique
Produits satisfaisant du point de vue qualité mais de coût encore un peu élevé.
"Programmes nombreux, compliqués à comprendre, peu de lisibilité des différentes plateformes à notre disposition, on se perd beaucoup..."
La formation et les matériels sont de grandes utilités
je n'ai jamais eu leur produit
"Un programme de revendeur très compliqué du côté de l'administratif... nous avons à l'heure actuelle des difficultés à renouveller notre partenariat simplement parce qu'il suffit qu'un salarié parte avec quelques informations, et plus possible de renouveler..."
"Pas assez d'accompagnement des ""petits partenaires"". Pas d'accès aux avant-ventes sur des sujets très techniques qui sortent du SMB. Partenariat ""limité"" : étant seule et les roles n'étant pas cumulables, je ne peux pas devenir ""Premier"" et doit rester ""Select"""
Meilleur Assistance
engagement vente
impliquez nous et poussez vos spécialistes Datacenter (exclusif!!!)
Nos clients ont déjà utilisés et demandent le produit.
j'aimerai un outil de configuration des équipements plus rapide.
"Pour nous aider à mieux aider les etudiants en injstance de stage, nous souhaiterions qu'un programme d'accreditation soit mis en place sans coût pour l'employeur."
lors de demandes de rensiegnements et validations la quelaité et le délais des réponses sont comparables.
Plus de contact avec mon vendeur.
IL EST PLUS FACILE DE TRAITER ET D4AVOIR UN INTERLOCUTEUR RAPIDEMENT IDENTIFIE CHEZ JUNIPER ET QUI NE CHANGE PAS TOUS LES 6 A 12 MOIS
PARTENARIAT HISTORIQUE
de veiller sur le respect des règles; d’éthique et des engagements
Engagement partenaire. Fiabilité
"Gestion des partenaires, engagement clair"
A cause des couts et du partenariat.
Process de cotation plus simple
"Connaissance, sécurité, fiabilité"
"Moins d'outils, moins d'aide, moins de relations"
Plus de prise en compte de la relation avec les partenaires pour la partie DC
coût élevé des routeurs
FELICIDADES
"Les produits ne sont pas concurrents, mais complémentaires. NetApp est également un excellent constructeur."
"En tant que partenaire intégrateur, j'aimerais plus de formations qui nous seraient dédiées spécifiquement."
Suivi des partenairesen constante dimiution depuis deux ans.
Bon travail.
Nous n'avons pas de personne de contact direct chez HP.
La gestion des Smartnet est a optimiser
engagement
Bravo toujours pour votre solution réseau
On aimerais intensifier notre partenariat via des grands projets
plus de rigueur dans l'ensemble des process.
Finances.
Certifications
"plus de proximité, offres mieux maitrisé, moins de bug, plus concurrentiels:, plus fiables dans les délais, plus d'expertise technique mise a notre disposition..."
vos process sont trop complexes
la Fiabilité
un site 100% en français avec la documentation en français
Saludos
Nous avons des interlocuteurs commerciaux présents sur les 2 constructeurs
Facilité de gestion de la sécurité pour une moyenne ou grande entreprise
Situation difficile pour les partenaires qui sont SELECT (statut actuel de Technologies EcosysIP inc.) et qui aspire a devenir rapidement PREMIER mais qui font face a la compétition des travailleurs Autonome + firmes de placements de personnel.
"Pour du matériel Business, Zyxel fourni de très bons produits aussi très facilement"
JMB est partenaire Gold HP sur le PRINT
meilleure réactivité et prix de plus en plus attractifs pour le mid market
Communication plus clair
Remercier énormément Olivier FAURE pour son honnêteté sa compétence et sa disponibilité.
Vinci Pour SFR
anciennete du partenariat mailleure connaissance de la partie infrastructure
Disscussion des prix finaux c est = Présentation des produits un peu meilleure
dont have F5 partnership
Le public visé n'est pas le même.
De meilleures relations avant vente
Plus de produits et solutions
En rapport avec le prix de produits et le budget de client
de continuer ainsi
Que le site internet est très compliqué.
Leur demander de continuer dans ce sens.
Juniper plus souple mais moins présent sur le marché francais
Moins d'arrogance au niveau des commerciaux terrain
"Dommage que Marie BENET ne soit pas restée, elle faisait un boulot efficace !"
"parceque alcatel nous aide vraiment pour vendre leur solution, ils sont très proche, nous aide dans la redaction des offres clients, AO, nous invite dans leur forum (maroc, etc...) ce qui favorise la proximité.. :)"
revoir la chereté des équipements nous inviter au forum afin de nous permettre d'être en contact avec leur ingénieur et de découvrir les nouvelles solutions
"Interlocuteurs stables, programmes de marketing plus simple, retour de leads"
"simplification des programmes. Formation ; oui, politique de certification ; non."
S/C
formation a proximiter
Tenir de façon plus fiable les délais de livraison annoncés
Une simplification et centralisation de la relation de partenariat
Les sessions Technico-commercial sont un vrai plus avec des laboratoires
BYOD
"bon contact, réactivité des 2 fournisseurs"
Une plus grande présence et disponibilité des AM.
la gestion du ptogramme est trop lourde
Enchantment
Prix plus bas chez Polycom
meilleur rapport qualité et performance produit par rapport au prix total
Coût et politique commerciale
Produit bon qualité prix
plus d'implication des SE lors de points techniques compliqués. Eviter de pousser des solutions non matures et/ou des briques fonctionnelles à la mode mais non requises par le client.
Programmes de remises plus simple
d
Je suis beaucoup en contact avec mon fournisseur HP
"T-train, different code base."
"Yeah, Colt, C-O-L-T."
Collaboration
"IBM, Lenovo."
Lenovo
MODULE DE FORMATION EN LIGNE
Fournir plus de documentation en Français
Un point mensuel sur les dossiers et opportunités en cours.
"Je n'ai pas encore eu l'occasion de pratiquer cette collaboration : d'où la constante ""neutre""."
Réduire la chaîne décisionnelle et améliorer les temps de réponse.
"Ils n'ont jamais étés proche de nous pour le traitement des affaires et/ou même de donner des conseils,...etc"
que je puisse entrer en contact avec cette équipe que je n'ai pas eu l'occasion de rencontrer encore
Je ne travaille quasiement jamais en avant-vente.
Be consistant
Obtenir des réponses lorsque l'on envoie des mails
Suici des commandes : tracking pas toujours à jour ; le client est parfois livré sans que nous en soyons informé
Early Engagement
Accompagnement
action marketing sur le BE6000
CONNAISSANCE SUR LES SHART SUPPORTS
PIQUURE SUR LE Q P T
Nous rediriger à des supports (TAC) qui parlent notre langue le français
FAIRe des seminaires en ligne via webex
Formation sur l'utilisation de vos différentes plateformes
Plus de transparence et d'accompagnement du partenaire
Apporter plus d'information sur les produits afin que nous asachions aussi informer nos clients.
Avoir plus de transparence en cas de situation complexe sur bug produits
Nous assistez comme vous le réaliser en     Californie
il faudrait faire la formation et les certifications dans toutes les langues
